,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Denmark,"141.441,4","147.843,4","153.152,1","158.146,4","166.972,1","178.018,1","184.045,6","189.794,9","193.353,4","202.422,2","212.832,4","225.531,3","233.383,3","241.613,5","231.278,0","243.165,4","247.879,9","254.578,0","258.742,7","265.757,0","273.017,6","283.109,7","292.408,0","301.340,9","310.002,3"
Sweden,"204.328,5","229.771,3","236.645,7","241.468,1","257.109,7","285.150,3","270.524,5","283.627,1","296.305,5","310.182,0","315.774,8","337.317,2","358.945,1","354.881,1","314.637,5","374.695,2","412.844,7","430.037,1","441.850,7","438.833,9","455.494,7","466.266,5","480.025,5","470.673,1","474.193,7"
Finland,"102.643,6","104.142,2","112.033,4","119.733,4","126.916,0","136.442,0","144.628,0","148.486,0","151.749,0","158.758,0","164.687,0","172.897,0","187.072,0","194.265,0","181.747,0","188.143,0","197.998,0","201.037,0","204.321,0","206.897,0","211.385,0","217.518,0","225.933,0","233.662,0","240.557,0"
Norway,"116.241,0","128.671,9","142.336,6","137.395,7","152.301,8","185.788,4","194.362,4","207.898,4","202.462,0","213.032,7","248.462,6","275.414,7","293.167,0","317.021,5","278.246,6","323.760,9","358.339,5","396.523,5","393.408,7","375.947,3","347.632,1","333.471,3","353.316,4","367.893,7","360.300,9"
Switzerland,"262.110,8","260.216,4","252.935,0","263.721,6","272.140,6","294.914,5","311.299,7","320.237,4","312.431,2","317.491,0","328.683,1","343.498,6","350.695,6","378.248,1","390.207,4","441.085,7","504.020,9","519.716,4","518.379,5","534.923,7","612.658,4","606.773,4","602.268,2","597.008,9","628.106,6"
Netherlands,"346.000,8","354.929,1","367.861,6","391.460,9","419.459,0","452.007,0","481.881,0","501.137,0","512.810,0","529.286,0","550.883,0","584.546,0","619.170,0","647.198,0","624.842,0","639.187,0","650.359,0","652.966,0","660.463,0","671.560,0","690.008,0","708.337,0","738.146,0","773.987,0","Pro 810.247,0"
Ireland,"52.889,6","59.698,1","73.087,4","80.496,3","92.668,8","108.400,2","122.009,9","135.955,7","145.533,6","156.189,4","170.230,9","184.914,1","197.129,5","187.619,5","169.785,8","167.673,7","170.950,9","175.103,9","179.616,3","195.148,1","262.853,3","270.809,5","300.386,9","326.986,1","356.051,2"
Unit.King,"1.025.787,0","1.114.825,5","1.375.538,1","1.472.989,1","1.578.606,1","1.797.681,6","1.832.342,8","1.893.359,1","1.817.185,2","1.945.197,9","2.041.933,3","2.163.500,2","2.264.694,5","1.996.698,4","1.737.000,2","1.867.396,0","1.912.457,9","2.111.708,4","2.098.425,7","2.309.785,1","2.640.934,6","2.435.055,2","2.363.109,3","2.423.736,6","2.525.093,1"
Germany,"1.977.604,1","1.967.956,2","1.952.617,8","2.000.815,9","2.059.480,0","2.109.090,0","2.172.540,0","2.198.120,0","2.211.570,0","2.262.520,0","2.288.310,0","2.385.080,0","2.499.550,0","2.546.490,0","2.445.730,0","2.564.400,0","2.693.560,0","2.745.310,0","2.811.350,0","2.927.430,0","3.026.180,0","3.134.740,0","3.259.860,0","3.356.410,0","3.449.050,0"
Austria,"184.351,3","186.968,1","187.853,7","195.011,9","203.850,6","213.606,5","220.525,1","226.735,2","231.862,5","242.348,3","254.075,0","267.824,5","283.978,0","293.761,9","288.044,0","295.896,6","310.128,7","318.653,0","323.910,2","333.146,1","344.269,2","357.299,7","370.295,8","385.711,9","398.682,4"
